Adresse,CodePostal
"Moulay Slissen, Sidi Bel Abbès",22018
"El Hacaiba, Sidi Bel Abbès",22019
"Hassi Zehana, Sidi Bel Abbès",22020
"Tabia, Sidi Bel Abbès",22021
"Merine, Sidi Bel Abbès",22022
"Ras El Ma, Sidi Bel Abbès",22023
"Ain Tindamine, Sidi Bel Abbès",22024
"Ain Kada, Sidi Bel Abbès",22025
"Mcid, Sidi Bel Abbès",22026
"Sidi Khaled, Sidi Bel Abbès",22027
"Ain El Berd, Sidi Bel Abbès",22028
"Sfissef, Sidi Bel Abbès",22029
"Ain Adden, Sidi Bel Abbès",22030
"Oued Taourira, Sidi Bel Abbès",22031
"Dhaya, Sidi Bel Abbès",22032
"Zerouala, Sidi Bel Abbès",22033
"Lamtar, Sidi Bel Abbès",22034
"Sidi Chaib, Sidi Bel Abbès",22035
"Sidi Dahou Dezairs, Sidi Bel Abbès",22036
"Oued Sbaa, Sidi Bel Abbès",22037
"Boudjebaa El Bordj, Sidi Bel Abbès",22038
"Sehala Thaoura, Sidi Bel Abbès",22039
"Sidi Yacoub, Sidi Bel Abbès",22040
"Sidi Hamadouche, Sidi Bel Abbès",22041
"Belarbi, Sidi Bel Abbès",22042
"Oued Sefioun, Sidi Bel Abbès",22043
"Teghalimet, Sidi Bel Abbès",22044
"Ben Badis, Sidi Bel Abbès",22045
"Sidi Ali Benyoub, Sidi Bel Abbès",22046
"Chetouane Belaila, Sidi Bel Abbès",22047
"Bir El Hammam, Sidi Bel Abbès",22048
"Taoudmout, Sidi Bel Abbès",22049
"Redjem Demouche, Sidi Bel Abbès",22050
"Benachiba Chelia, Sidi Bel Abbès",22051
"Hassi Dahou, Sidi Bel Abbès",22052
"Annaba, Annaba",23001
"Berrahel, Annaba",23002
"El Hadjar, Annaba",23003
"Eulma, Annaba",23004
"El Bouni, Annaba",23005
"Oued El Aneb, Annaba",23006
"Cheurfa, Annaba",23007
"Seraidi, Annaba",23008
"Ain Berda, Annaba",23009
"Chetaibi, Annaba",23010
"Sidi Amer, Annaba",23011
"Treat, Annaba",23012
"Guelma, Guelma",24001
"Nechmaya, Guelma",24002
"Bouati Mahmoud, Guelma",24003
"Oued Zenati, Guelma",24004
"Tamlouka, Guelma",24005
"Oued Fragha, Guelma",24006
"Ain Sandel, Guelma",24007
"Ras El Agba, Guelma",24008
"Dahouara, Guelma",24009
"Belkhir, Guelma",24010
"Ben Djarah, Guelma",24011
"Bou Hamdane, Guelma",24012
"Ain Makhlouf, Guelma",24013
"Ain Ben Beida, Guelma",24014
"Khezara, Guelma",24015
"Beni Mezline, Guelma",24016
"Bou Hachana, Guelma",24017
"Guelaat Bou Sbaa, Guelma",24018
"Hammam Maskhoutine, Guelma",24019
"El Fedjoudj, Guelma",24020
"Bordj Sabat, Guelma",24021
"Hamman Nbail, Guelma",24022
"Ain Larbi, Guelma",24023
"Medjez Amar, Guelma",24024
"Bouchegouf, Guelma",24025
"Heliopolis, Guelma",24026
"Ain Hessania, Guelma",24027
"Roknia, Guelma",24028
"Salaoua Announa, Guelma",24029
"Medjez Sfa, Guelma",24030
"Boumahra Ahmed, Guelma",24031
"Ain Reggada, Guelma",24032
"Oued Cheham, Guelma",24033
"Djeballah Khemissi, Guelma",24034
"Constantine, Constantine",25001
"Hamma Bouziane, Constantine",25002
"El Haria, Constantine",25003
"Zighoud Youcef, Constantine",25004
"Didouche Mourad, Constantine",25005
"El Khroub, Constantine",25006
"Ain Abid, Constantine",25007
"Beni Hamiden, Constantine",25008
"Ouled Rahmoune, Constantine",25009
"Ain Smara, Constantine",25010
"Mesaoud Boudjeriou, Constantine",25011
"Ibn Ziad, Constantine",25012
"Medea, Médéa",26001
"Ouzera, Médéa",26002
"Ouled Maaref, Médéa",26003
"Ain Boucif, Médéa",26004
"Aissaouia, Médéa",26005
"Ouled Deide, Médéa",26006
"El Omaria, Médéa",26007
"Derrag, Médéa",26008
"El Guelbelkebir, Médéa",26009
"Bouaiche, Médéa",26010
"Mezerena, Médéa",26011
"Ouled Brahim, Médéa",26012
"Damiat, Médéa",26013
"Sidi Ziane, Médéa",26014
"Tamesguida, Médéa",26015
"El Hamdania, Médéa",26016
"Kef Lakhdar, Médéa",26017
"Chelalet El Adhaoura, Médéa",26018
"Bouskene, Médéa",26019
"Rebaia, Médéa",26020
"Bouchrahil, Médéa",26021
"Ouled Hellal, Médéa",26022
"Tafraout, Médéa",26023
"Baata, Médéa",26024
"Boghar, Médéa",26025
"Sidi Naamane, Médéa",26026
"Ouled Bouachra, Médéa",26027
"Sidi Zahar, Médéa",26028
"Oued Harbil, Médéa",26029
"Benchicao, Médéa",26030
"Sidi Damed, Médéa",26031
"Aziz, Médéa",26032
"Souagui, Médéa",26033
"Zoubiria, Médéa",26034
"Ksar El Boukhari, Médéa",26035
"El Azizia, Médéa",26036
"Djouab, Médéa",26037
"Chahbounia, Médéa",26038
"Meghraoua, Médéa",26039
"Cheniguel, Médéa",26040
"Ain Ouksir, Médéa",26041
"Oum El Djalil, Médéa",26042
"Ouamri, Médéa",26043
"Si Mahdjoub, Médéa",26044
"Tlatet Eddoair, Médéa",26045
"Beni Slimane, Médéa",26046
"Berrouaghia, Médéa",26047
"Seghouane, Médéa",26048
"Meftaha, Médéa",26049
"Mihoub, Médéa",26050
"Boughezoul, Médéa",26051
"Tablat, Médéa",26052
"Deux Bassins, Médéa",26053
"Draa Essamar, Médéa",26054
"Sidi Errabia, Médéa",26055
"Bir Ben Laabed, Médéa",26056
"El Ouinet, Médéa",26057
"Ouled Antar, Médéa",26058
"Bouaichoune, Médéa",26059
"Hannacha, Médéa",26060
"Sedraia, Médéa",26061
"Medjebar, Médéa",26062
"Khams Djouamaa, Médéa",26063
"Saneg, Médéa",26064
"Mostaganem, Mostaganem",27001
"Sayada, Mostaganem",27002
"Fornaka, Mostaganem",27003
"Stidia, Mostaganem",27004
"Ain Nouissy, Mostaganem",27005
"Hassi Maameche, Mostaganem",27006
"Ain Tadles, Mostaganem",27007
"Sour, Mostaganem",27008
"Oued El Kheir, Mostaganem",27009
"Sidi Bellater, Mostaganem",27010
"Kheiredine , Mostaganem",27011
"Sidi Ali, Mostaganem",27012
"Abdelmalek Ramdane, Mostaganem",27013
"Hadjadj, Mostaganem",27014
"Nekmaria, Mostaganem",27015
"Sidi Lakhdar, Mostaganem",27016
"Achaacha, Mostaganem",27017
"Khadra, Mostaganem",27018
"Bouguirat, Mostaganem",27019
"Sirat, Mostaganem",27020
"Ain Sidi Cherif, Mostaganem",27021
"Mesra, Mostaganem",27022
"Mansourah, Mostaganem",27023
"Souaflia, Mostaganem",27024
"Ouled Boughalem, Mostaganem",27025
"Ouled Maallah, Mostaganem",27026
"Mezghrane, Mostaganem",27027
"Ain Boudinar, Mostaganem",27028
"Tazgait, Mostaganem",27029
"Safsaf, Mostaganem",27030
"Touahria, Mostaganem",27031
"El Hassiane, Mostaganem",27032
"Msila, M'Sila",28001
"Maadid, M'Sila",28002
"Hammam Dhalaa, M'Sila",28003
"Ouled Derradj, M'Sila",28004
"Tarmount, M'Sila",28005
"Mtarfa, M'Sila",28006
"Khoubana, M'Sila",28007
"Mcif, M'Sila",28008
"Chellal, M'Sila",28009
"Ouled Madhi, M'Sila",28010
"Magra, M'Sila",28011
"Berhoum, M'Sila",28012
"Ain Khadra, M'Sila",28013
"Ouled Addi Guebala, M'Sila",28014
"Belaiba, M'Sila",28015
"Sidi Aissa, M'Sila",28016
"Ain El Hadjel, M'Sila",28017
"Sidi Hadjeres, M'Sila",28018
"Ouanougha, M'Sila",28019
"Bou Saada, M'Sila",28020
"Ouled Sidi Brahim, M'Sila",28021
"Sidi Ameur, M'Sila",28022
"Tamsa, M'Sila",28023
"Ben Srour, M'Sila",28024
"Ouled Slimane, M'Sila",28025
"El Houamed, M'Sila",28026
"El Hamel, M'Sila",28027
"Ouled Mansour, M'Sila",28028
"Maarif, M'Sila",28029
"Dehahna, M'Sila",28030
"Bouti Sayah, M'Sila",28031
"Khettouti Sed Djir, M'Sila",28032
"Zarzour, M'Sila",28033
"Oued Chair, M'Sila",28034
"Benzouh, M'Sila",28035
"Bir Foda, M'Sila",28036
"Ain Fares, M'Sila",28037
"Sidi Mhamed, M'Sila",28038
"Ouled Atia, M'Sila",28039
"Souamaa, M'Sila",28040
"Ain El Melh, M'Sila",28041
"Medjedel, M'Sila",28042
"Slim, M'Sila",28043
"Ain Errich, M'Sila",28044
"Beni Ilmane, M'Sila",28045
"Oultene, M'Sila",28046
"Djebel Messaad, M'Sila",28047
"Mascara, Mascara",29001
"Bou Hanifia, Mascara",29002
"Tizi, Mascara",29003
"Hacine, Mascara",29004
"Maoussa, Mascara",29005
"Teghennif, Mascara",29006
"El Hachem, Mascara",29007
"Sidi Kada, Mascara",29008
"Zelmata, Mascara",29009
"Oued El Abtal, Mascara",29010
"Ain Ferah, Mascara",29011
"Ghriss, Mascara",29012
"Froha, Mascara",29013
"Matemore, Mascara",29014
"Makdha, Mascara",29015
"Sidi Boussaid, Mascara",29016
"El Bordj, Mascara",29017
"Ain Fekan, Mascara",29018
"Benian, Mascara",29019
"Khalouia, Mascara",29020
"El Menaouer, Mascara",29021
"Oued Taria, Mascara",29022
"Aouf, Mascara",29023
"Ain Fares, Mascara",29024
"Ain Frass, Mascara",29025
"Sig, Mascara",29026
"Oggaz, Mascara",29027
"Alaimia, Mascara",29028
"El Gaada, Mascara",29029
"Zahana, Mascara",29030
"Mohammadia, Mascara",29031
"Sidi Abdelmoumene, Mascara",29032
"Ferraguig, Mascara",29033
"El Ghomri, Mascara",29034
"Sedjerara, Mascara",29035
"Moctadouz, Mascara",29036
"Bou Henni, Mascara",29037
"Guettena, Mascara",29038
"El Mamounia, Mascara",29039
"El Keurt, Mascara",29040
"Gharrous, Mascara",29041
"Gherdjoum, Mascara",29042
"Chorfa, Mascara",29043
"Ras Ain Amirouche, Mascara",29044
"Nesmot, Mascara",29045
"Sidi Abdeldjebar, Mascara",29046
"Sehailia, Mascara",29047
"Ouargla, Ouargla",30001
"Ain Beida, Ouargla",30002
"Ngoussa, Ouargla",30003
"Hassi Messaoud, Ouargla",30004
"Rouissat, Ouargla",30005
"Balidat Ameur, Ouargla",30006
"Tebesbest, Ouargla",30007
"Nezla, Ouargla",30008
"Zaouia El Abidia, Ouargla",30009
"Sidi Slimane, Ouargla",30010
"Sidi Khouiled, Ouargla",30011
"Hassi Ben Abdellah, Ouargla",30012
"Touggourt, Ouargla",30013
"El Hadjira, Ouargla",30014
"Taibet, Ouargla",30015
"Tamacine, Ouargla",30016
"Benaceur, Ouargla",30017
"Mnaguer, Ouargla",30018
"Megarine, Ouargla",30019
"El Allia, Ouargla",30020
"El Borma, Ouargla",30021
"Oran, Oran",31001
"Gdyel, Oran",31002
"Bir El Djir, Oran",31003
"Hassi Bounif, Oran",31004
"Es Senia, Oran",31005
"Arzew, Oran",31006
"Bethioua, Oran",31007
"Marsat El Hadjadj, Oran",31008
"Ain Turk, Oran",31009
"El Ancar, Oran",31010
"Oued Tlelat, Oran",31011
"Tafraoui, Oran",31012
"Sidi Chami, Oran",31013
"Boufatis, Oran",31014
"Mers El Kebir, Oran",31015
"Bousfer, Oran",31016
"El Karma, Oran",31017
"El Braya, Oran",31018
"Hassi Ben Okba, Oran",31019
"Ben Freha, Oran",31020
"Hassi Mefsoukh, Oran",31021
"Sidi Ben Yabka, Oran",31022
"Messerghin, Oran",31023
"Boutlelis, Oran",31024
"Ain Kerma, Oran",31025
"Ain Biya, Oran",31026
"El Bayadh, El Bayadh",32001
"Rogassa, El Bayadh",32002
"Stitten, El Bayadh",32003
"Brezina, El Bayadh",32004
"Ghassoul, El Bayadh",32005
"Boualem, El Bayadh",32006
"El Abiodh Sidi Cheikh, El Bayadh",32007
"Ain El Orak, El Bayadh",32008
"Arbaouat, El Bayadh",32009
"Bougtoub, El Bayadh",32010
"El Kheither, El Bayadh",32011
"Kef El Ahmar, El Bayadh",32012
"Boussemghoun, El Bayadh",32013
"Chellala, El Bayadh",32014
"Krakda, El Bayadh",32015
"El Bnoud, El Bayadh",32016
"Cheguig, El Bayadh",32017
"Sidi Ameur, El Bayadh",32018
"El Mehara, El Bayadh",32019
"Tousmouline, El Bayadh",32020
"Sidi Slimane, El Bayadh",32021
"Sidi Tifour, El Bayadh",32022
"Illizi, Illizi",33001
"Djanet, Illizi",33002
"Debdeb, Illizi",33003
"Bordj Omar Driss, Illizi",33004
"Bordj El Haouasse, Illizi",33005
"In Amenas, Illizi",33006
"Bordj Bou Arreridj, Bordj Bou Arreridj",34001
"Ras El Oued, Bordj Bou Arreridj",34002
"Bordj Zemoura, Bordj Bou Arreridj",34003
"Mansoura, Bordj Bou Arreridj",34004
"El Mhir, Bordj Bou Arreridj",34005
"Ben Daoud, Bordj Bou Arreridj",34006
"El Achir, Bordj Bou Arreridj",34007
"Ain Taghrout, Bordj Bou Arreridj",34008
"Bordj Ghdir, Bordj Bou Arreridj",34009
"Sidi Embarek, Bordj Bou Arreridj",34010
"El Hamadia, Bordj Bou Arreridj",34011
"Belimour, Bordj Bou Arreridj",34012
"Medjana, Bordj Bou Arreridj",34013
"Teniet En Nasr, Bordj Bou Arreridj",34014
"Djaafra, Bordj Bou Arreridj",34015
"El Main, Bordj Bou Arreridj",34016
"Ouled Brahem, Bordj Bou Arreridj",34017
"Ouled Dahmane, Bordj Bou Arreridj",34018
"Hasnaoua, Bordj Bou Arreridj",34019
"Khelil, Bordj Bou Arreridj",34020
"Taglait, Bordj Bou Arreridj",34021
"Ksour, Bordj Bou Arreridj",34022
"Ouled Sidi Brahim, Bordj Bou Arreridj",34023
"Tafreg, Bordj Bou Arreridj",34024
"Colla, Bordj Bou Arreridj",34025
"Tixter, Bordj Bou Arreridj",34026
"El Ach, Bordj Bou Arreridj",34027
"El Anseur, Bordj Bou Arreridj",34028
"Tesmart, Bordj Bou Arreridj",34029
"Ain Tesra, Bordj Bou Arreridj",34030
"Bir Kasdali, Bordj Bou Arreridj",34031
"Ghilassa, Bordj Bou Arreridj",34032
"Rabta, Bordj Bou Arreridj",34033
"Haraza, Bordj Bou Arreridj",34034
"Boumerdes, Boumerdès",35001
"Boudouaou, Boumerdès",35002
"Afir, Boumerdès",35004
"Bordj Menaiel, Boumerdès",35005
"Baghlia, Boumerdès",35006
"Sidi Daoud, Boumerdès",35007
"Naciria, Boumerdès",35008
"Djinet, Boumerdès",35009
"Isser, Boumerdès",35010
"Zemmouri, Boumerdès",35011
"Si Mustapha, Boumerdès",35012
"Tidjelabine, Boumerdès",35013
"Chabet El Ameur, Boumerdès",35014
"Thenia, Boumerdès",35015
"Timezrit, Boumerdès",35018
"Corso, Boumerdès",35019
"Ouled Moussa, Boumerdès",35020
"Larbatache, Boumerdès",35021
"Bouzegza Keddara, Boumerdès",35022
"Taourga, Boumerdès",35025
"Ouled Aissa, Boumerdès",35026
"Ben Choud, Boumerdès",35027
"Dellys, Boumerdès",35028
"Ammal, Boumerdès",35029
"Beni Amrane, Boumerdès",35030
"Souk El Had, Boumerdès",35031
"Boudouaou El Bahri, Boumerdès",35032
"Ouled Hedadj, Boumerdès",35033
"Laghata, Boumerdès",35035
"Hammedi, Boumerdès",35036
"Khemis El Khechna, Boumerdès",35037
"El Kharrouba, Boumerdès",35038
"El Tarf, El Tarf",36001
"Bouhadjar, El Tarf",36002
"Ben Mhidi, El Tarf",36003
"Bougous, El Tarf",36004
"El Kala, El Tarf",36005
"Ain El Assel, El Tarf",36006
"El Aioun, El Tarf",36007
"Bouteldja, El Tarf",36008
"Souarekh, El Tarf",36009
"Berrihane, El Tarf",36010
"Lac Des Oiseaux, El Tarf",36011
"Chefia, El Tarf",36012
"Drean, El Tarf",36013
"Chihani, El Tarf",36014
"Chebaita Mokhtar, El Tarf",36015
"Besbes, El Tarf",36016
"Asfour, El Tarf",36017
"Echatt, El Tarf",36018
"Zerizer, El Tarf",36019
"Zitouna, El Tarf",36020
"Ain Kerma, El Tarf",36021
"Oued Zitoun, El Tarf",36022
"Hammam Beni Salah, El Tarf",36023
"Raml Souk, El Tarf",36024
"Tindouf, Tindouf",37001
"Oum El Assel, Tindouf",37002
"Tissemsilt, Tissemsilt",38001
"Bordj Bou Naama, Tissemsilt",38002
"Theniet El Had, Tissemsilt",38003
"Lazharia, Tissemsilt",38004
"Beni Chaib, Tissemsilt",38005
"Lardjem, Tissemsilt",38006
"Melaab, Tissemsilt",38007
"Sidi Lantri, Tissemsilt",38008
"Bordj El Emir Abdelkader, Tissemsilt",38009
"Layoune, Tissemsilt",38010
"Khemisti, Tissemsilt",38011
"Ouled Bessem, Tissemsilt",38012
"Ammari, Tissemsilt",38013
"Youssoufia, Tissemsilt",38014
"Sidi Boutouchent, Tissemsilt",38015
"Larbaa, Tissemsilt",38016
"Maasem, Tissemsilt",38017
"Sidi Abed, Tissemsilt",38018
"Tamalaht, Tissemsilt",38019
"Sidi Slimane, Tissemsilt",38020
"Boucaid, Tissemsilt",38021
"Beni Lahcene, Tissemsilt",38022
"El Oued, El Oued",39001
"Robbah, El Oued",39002
"Oued El Alenda, El Oued",39003
"Bayadha, El Oued",39004
"Nakhla, El Oued",39005
"Guemar, El Oued",39006
"Kouinine, El Oued",39007
"Reguiba, El Oued",39008
"Hamraia, El Oued",39009
"Taghzout, El Oued",39010
"Debila, El Oued",39011
"Hassani Abdelkrim, El Oued",39012
"Hassi Khelifa, El Oued",39013
"Taleb Larbi, El Oued",39014
"Douar El Ma, El Oued",39015
"Sidi Aoun, El Oued",39016
"Trifaoui, El Oued",39017
"Magrane, El Oued",39018
"Beni Guecha, El Oued",39019
"Ourmas, El Oued",39020
"Still, El Oued",39021
"Mrara, El Oued",39022
"Sidi Khellil, El Oued",39023
"Tendla, El Oued",39024
"El Ogla, El Oued",39025
"Mih Ouansa, El Oued",39026
"El Mghair, El Oued",39027
"Djamaa, El Oued",39028
"Oum Touyour, El Oued",39029
"Sidi Amrane, El Oued",39030
"Khenchela, Khenchela",40001
"Mtoussa, Khenchela",40002
"Kais, Khenchela",40003
"Baghai, Khenchela",40004
"El Hamma, Khenchela",40005
"Ain Touila, Khenchela",40006
"Taouzianat, Khenchela",40007
"Bouhmama, Khenchela",40008
"El Oueldja, Khenchela",40009
"Remila, Khenchela",40010
"Cherchar, Khenchela",40011
"Djellal, Khenchela",40012
"Babar, Khenchela",40013
"Tamza, Khenchela",40014
"Ensigha, Khenchela",40015
"Ouled Rechache, Khenchela",40016
"El Mahmal, Khenchela",40017
"Msara, Khenchela",40018
"Yabous, Khenchela",40019
"Khirane, Khenchela",40020
"Chelia, Khenchela",40021
"Souk Ahras, Souk Ahras",41001
"Sedrata, Souk Ahras",41002
"Hanancha, Souk Ahras",41003
"Mechroha, Souk Ahras",41004
"Ouled Driss, Souk Ahras",41005
"Tiffech, Souk Ahras",41006
"Zaarouria, Souk Ahras",41007
"Taoura, Souk Ahras",41008
"Drea, Souk Ahras",41009
"Haddada, Souk Ahras",41010
"Khedara, Souk Ahras",41011
"Merahna, Souk Ahras",41012
"Ouled Moumen, Souk Ahras",41013
"Bir Bouhouche, Souk Ahras",41014
"Mdaourouche, Souk Ahras",41015
"Oum El Adhaim, Souk Ahras",41016
"Ain Zana, Souk Ahras",41017
"Ain Soltane, Souk Ahras",41018
"Quillen, Souk Ahras",41019
"Sidi Fredj, Souk Ahras",41020
"Safel El Ouiden, Souk Ahras",41021
"Ragouba, Souk Ahras",41022
"Khemissa, Souk Ahras",41023
"Oued Keberit, Souk Ahras",41024
"Terraguelt, Souk Ahras",41025
"Zouabi, Souk Ahras",41026
"Tipaza, Tipaza",42001
"Menaceur, Tipaza",42002
"Larhat, Tipaza",42003
"Douaouda, Tipaza",42004
"Bourkika, Tipaza",42005
"Khemisti, Tipaza",42006
"Aghabal, Tipaza",42010
"Hadjout, Tipaza",42012
"Sidi Amar, Tipaza",42013
"Gouraya, Tipaza",42014
"Nodor, Tipaza",42015
"Chaiba, Tipaza",42016
"Ain Tagourait, Tipaza",42017
"Cherchel, Tipaza",42022
"Damous, Tipaza",42023
"Meurad, Tipaza",42024
"Fouka, Tipaza",42025
"Bou Ismail, Tipaza",42026
"Ahmer El Ain, Tipaza",42027
"Bou Haroun, Tipaza",42030
"Sidi Ghiles, Tipaza",42032
"Messelmoun, Tipaza",42033
"Sidi Rached, Tipaza",42034
"Kolea, Tipaza",42035
"Attatba, Tipaza",42036
"Sidi Semiane, Tipaza",42040
"Beni Milleuk, Tipaza",42041
"Hadjerat Ennous, Tipaza",42042
"Mila, Mila",43001
"Ferdjioua, Mila",43002
"Chelghoum Laid, Mila",43003
"Oued Athmenia, Mila",43004
"Ain Mellouk, Mila",43005
"Telerghma, Mila",43006
"Oued Seguen, Mila",43007
"Tadjenanet, Mila",43008
"Benyahia Abderrahmane, Mila",43009
"Oued Endja, Mila",43010
"Ahmed Rachedi, Mila",43011
"Ouled Khalouf, Mila",43012
"Tiberguent, Mila",43013
"Bouhatem, Mila",43014
"Rouached, Mila",43015
"Tessala Lamatai, Mila",43016
"Grarem Gouga, Mila",43017
"Sidi Merouane, Mila",43018
"Tassadane Haddada, Mila",43019
"Derradji Bousselah, Mila",43020
"Minar Zarza, Mila",43021
"Amira Arras, Mila",43022
"Terrai Bainen, Mila",43023
"Hamala, Mila",43024
"Ain Tine, Mila",43025
"El Mechira, Mila",43026
"Sidi Khelifa, Mila",43027
"Zeghaia, Mila",43028
"Elayadi Barbes, Mila",43029
"Ain Beida Harriche, Mila",43030
"Yahia Beniguecha, Mila",43031
"Chigara, Mila",43032
"Ain Defla, Aïn Defla",44001
"Miliana, Aïn Defla",44002
"Boumedfaa, Aïn Defla",44003
"Khemis Miliana, Aïn Defla",44004
"Hammam Righa, Aïn Defla",44005
"Arib, Aïn Defla",44006
"Djelida, Aïn Defla",44007
"El Amra, Aïn Defla",44008
"Bourached, Aïn Defla",44009
"El Attaf, Aïn Defla",44010
"El Abadia, Aïn Defla",44011
"Djendel, Aïn Defla",44012
"Oued Chorfa, Aïn Defla",44013
"Ain Lechiakh, Aïn Defla",44014
"Oued Djemaa, Aïn Defla",44015
"Rouina, Aïn Defla",44016
"Zeddine, Aïn Defla",44017
"El Hassania, Aïn Defla",44018
"Bir Ouled Khelifa, Aïn Defla",44019
"Ain Soltane, Aïn Defla",44020
"Tarik Ibn Ziad, Aïn Defla",44021
"Bordj Emir Khaled, Aïn Defla",44022
"Ain Torki, Aïn Defla",44023
"Sidi Lakhdar, Aïn Defla",44024
"Ben Allal, Aïn Defla",44025
"Ain Benian, Aïn Defla",44026
"Hoceinia, Aïn Defla",44027
"Barbouche, Aïn Defla",44028
"Djemaa Ouled Chikh, Aïn Defla",44029
"Mekhatria, Aïn Defla",44030
"Bathia, Aïn Defla",44031
"Tachta Zegagha, Aïn Defla",44032
"Ain Bouyahia, Aïn Defla",44033
"El Maine, Aïn Defla",44034
"Tiberkanine, Aïn Defla",44035
"Belaas, Aïn Defla",44036
"Naama, Naâma",45001
"Mechria, Naâma",45002
"Ain Sefra, Naâma",45003
"Tiout, Naâma",45004
"Sfissifa, Naâma",45005
"Moghrar, Naâma",45006
"Assela, Naâma",45007
"Djeniane Bourzeg, Naâma",45008
"Ain Ben Khelil, Naâma",45009
"Makman Ben Amer, Naâma",45010
"Kasdir, Naâma",45011
"El Biod, Naâma",45012
"Ain Temouchent, Aïn Témouchent",46001
"Chaabet El Ham, Aïn Témouchent",46002
"Ain Kihal, Aïn Témouchent",46003
"Hammam Bouhadjar, Aïn Témouchent",46004
"Bou Zedjar, Aïn Témouchent",46005
"Oued Berkeche, Aïn Témouchent",46006
"Aghlal, Aïn Témouchent",46007
"Terga, Aïn Témouchent",46008
"Ain El Arbaa, Aïn Témouchent",46009
"Tamzoura, Aïn Témouchent",46010
"Chentouf, Aïn Témouchent",46011
"Sidi Ben Adda, Aïn Témouchent",46012
"Aoubellil, Aïn Témouchent",46013
"El Malah, Aïn Témouchent",46014
"Sidi Boumediene, Aïn Témouchent",46015
"Oued Sabah, Aïn Témouchent",46016
"Ouled Boudjemaa, Aïn Témouchent",46017
"Ain Tolba, Aïn Témouchent",46018
"El Amria, Aïn Témouchent",46019
"Hassi El Ghella, Aïn Témouchent",46020
"Hassasna, Aïn Témouchent",46021
"Ouled Kihal, Aïn Témouchent",46022
"Beni Saf, Aïn Témouchent",46023
"Sidi Safi, Aïn Témouchent",46024
"Oulhaca El Gheraba, Aïn Témouchent",46025
"Tadmaya, Aïn Témouchent",46026
"El Emir Abdelkader, Aïn Témouchent",46027
"El Messaid, Aïn Témouchent",46028
"Ghardaia, Ghardaïa",47001
"El Meniaa, Ghardaïa",47002
"Dhayet Bendhahoua, Ghardaïa",47003
"Berriane, Ghardaïa",47004
"Metlili, Ghardaïa",47005
"El Guerrara, Ghardaïa",47006
"El Atteuf, Ghardaïa",47007
"Zelfana, Ghardaïa",47008
"Sebseb, Ghardaïa",47009
"Bounoura, Ghardaïa",47010
"Hassi Fehal, Ghardaïa",47011
"Hassi Gara, Ghardaïa",47012
"Mansoura, Ghardaïa",47013
"Relizane, Relizane",48001
"Oued Rhiou, Relizane",48002
"Belaassel Bouzegza, Relizane",48003
"Sidi Saada, Relizane",48004
"Ouled Aiche, Relizane",48005
"Sidi Lazreg, Relizane",48006
"El Hamadna, Relizane",48007
"Sidi Mhamed Ben Ali, Relizane",48008
"Mediouna, Relizane",48009
"Sidi Khettab, Relizane",48010
"Ammi Moussa, Relizane",48011
"Zemmoura, Relizane",48012
"Beni Dergoun, Relizane",48013
"Djidiouia, Relizane",48014
"El Guettar, Relizane",48015
"Hamri, Relizane",48016
"El Matmar, Relizane",48017
"Sidi Mhamed Ben Aouda, Relizane",48018
"Ain Tarek, Relizane",48019
"Oued Essalem, Relizane",48020
"Ouarizane, Relizane",48021
"Mazouna, Relizane",48022
"Kalaa, Relizane",48023
"Ain Rahma, Relizane",48024
"Yellel, Relizane",48025
"Oued El Djemaa, Relizane",48026
"Ramka, Relizane",48027
"Mendes, Relizane",48028
"Lahlef, Relizane",48029
"Beni Zentis, Relizane",48030
"Souk El Haad, Relizane",48031
"Dar Ben Abdellah, Relizane",48032
"El Hassi, Relizane",48033
"Had Echkalla, Relizane",48034
"Bendaoud, Relizane",48035
"El Ouldja, Relizane",48036
"Merdja Sidi Abed, Relizane",48037
"Ouled Sidi Mihoub, Relizane",48038
